	title	year	certificate	runtime	genre	imdb_rating	votes	metascore	gross
8412	Познакомьтесь с Джоном Доу	1941	135 min	135	['Comedy', 'Drama', 'Romance']	7.6	14158	0	0
8413	Murder, My Sweet	1944	95 min	95	['Crime', 'Drama', 'Film-Noir']	7.5	14157	0	0
8414	Предвестники бури	2004	12+	95	['Action', 'Adventure', 'Comedy']	4.3	14156	36	6768055
8415	King Solomon's Mines	1985	100 min	100	['Action', 'Adventure', 'Comedy']	5.2	14154	29	15057465
8416	Полусвет	2006	R	110	['Drama', 'Horror', 'Mystery']	6.0	14153	0	0
8417	Погоня с Дьяволом	1999	R	138	['Drama', 'Romance', 'War']	6.7	14149	69	630779
8418	Two for the Road	1967	111 min	111	['Comedy', 'Drama', 'Romance']	7.4	14146	78	7630000
8419	Чтo-то новенькое	2006	PG-13	99	['Comedy', 'Drama', 'Romance']	6.6	14143	64	11425894
8420	Тайна отца Амаро	2002	16+	118	['Drama', 'Romance']	6.7	14142	60	5709616
8421	Закон о детях	2017	R	105	['Drama']	6.7	14138	62	513381
8422	Гарет Джонс	2019	141 min	141	['Biography', 'Drama', 'Thriller']	6.9	14132	68	0
8423	A Day at the Races	1937	111 min	111	['Comedy', 'Family', 'Musical']	7.5	14127	0	0
8424	Обыкновенный преступник	2000	16+	93	['Comedy', 'Crime']	6.3	14126	0	0
8425	Зверофабрика	2000	18+	94	['Crime', 'Drama']	6.6	14121	65	43805
8426	Коффи и Карим	2020	88 min	88	['Action', 'Comedy', 'Crime']	5.2	14120	35	0
8427	Опасная близость: Сражение при Лонгтане	2019	R	118	['Action', 'Drama', 'War']	6.8	14118	0	0
8428	Семейка Аддамс: Горящий тур	2021	12+	93	['Animation', 'Adventure', 'Comedy']	5.4	14118	37	56489153
8429	Беспредел	2010	18+	109	['Action', 'Crime', 'Drama']	6.8	14118	67	0
8430	Звонок 2	1999	18+	95	['Horror', 'Mystery', 'Sci-Fi']	5.9	14117	0	0
8431	Talk Radio	1988	18+	110	['Drama', 'Thriller']	7.2	14115	66	3468572
8432	Сутенёр	2018	86 min	86	['Crime', 'Drama', 'Romance']	6.2	14112	44	0
8433	House of Usher	1960	79 min	79	['Drama', 'Horror']	6.9	14111	75	3161000
8434	Несправедливость: Боги среди нас	2021	R	78	['Animation', 'Action', 'Adventure']	6.4	14107	0	0
8435	Ангел света	2007	114 min	114	['Action', 'Fantasy', 'Horror']	5.5	14105	0	0
8436	The Toy	1982	102 min	102	['Comedy']	5.8	14102	16	47118057
8437	Erik the Viking	1989	107 min	107	['Comedy', 'Adventure', 'Fantasy']	6.1	14099	0	1932642
