title,year,runtime,genre,imdb_rating,votes,certificate,metascore,gross
Супергёрл,1984,124,"['Action', 'Adventure', 'Fantasy']",4.4,23015,NaN,41,13600000
Астронавт Фармер,2006,104,"['Adventure', 'Drama', 'Sci-Fi']",6.3,22996,PG,55,10996440
Boришки,1997,89,"['Adventure', 'Comedy', 'Family']",5.9,22989,PG,0,22359293
Разум в огне,2016,88,"['Biography', 'Drama']",6.6,22979,PG-13,34,0
Любовь и баскетбол,2000,124,"['Drama', 'Romance', 'Sport']",7.2,22969,12+,72,27441122
Каникулы мечты,2014,95,"['Comedy', 'Drama']",6.9,22964,PG-13,54,0
Невероятная история острова Роз,2020,117,"['Adventure', 'Comedy', 'Drama']",7.0,22954,NaN,0,0
Философы: Урок выживания,2013,107,"['Drama', 'Fantasy', 'Sci-Fi']",5.6,22954,R,37,0
Дикие предки,2018,89,"['Animation', 'Adventure', 'Comedy']",6.1,22944,6+,68,8267544
Замкнутая цепь,2013,96,"['Crime', 'Drama', 'Mystery']",6.2,22939,R,50,5733310
Meatballs,1979,94,['Comedy'],6.2,22932,NaN,60,43046003
Когда мужчина любит женщину,1994,126,"['Drama', 'Romance']",6.5,22924,R,0,50021959
Толкачи,1995,128,"['Crime', 'Drama', 'Mystery']",6.9,22922,18+,71,13040603
Элегия,2008,112,"['Drama', 'Romance']",6.7,22910,16+,66,3581642
"Такой же предатель, как и мы",2016,108,"['Crime', 'Drama', 'Thriller']",6.2,22907,R,57,3152725
Он был тихоней,2007,100,"['Drama', 'Romance', 'Thriller']",6.7,22899,NaN,53,0
Тайная одержимость,2019,97,['Thriller'],4.5,22898,NaN,0,0
Идеальный день,2015,106,"['Comedy', 'Drama', 'War']",6.8,22896,R,60,0
Explorers,1985,109,"['Adventure', 'Comedy', 'Family']",6.4,22880,PG,58,9873044
Streets of Fire,1984,93,"['Action', 'Crime', 'Drama']",6.7,22875,PG,59,8089290
Cat People,1982,118,"['Fantasy', 'Horror', 'Thriller']",6.2,22869,NaN,61,7000000
Брат,1997,96,"['Action', 'Crime', 'Drama']",7.8,22869,16+,0,0
Неуловимый Прем,2015,164,"['Action', 'Drama', 'Musical']",4.4,22869,NaN,0,4364639
Наш бренд - кризис,2015,107,"['Comedy', 'Drama']",6.1,22868,R,53,6998324
Потерянный рай,2014,120,"['Crime', 'Drama', 'History']",6.5,22864,R,56,106869
Bтoржение,2006,120,"['Crime', 'Drama', 'Romance']",6.5,22857,R,56,928960
На острой грани,2006,116,"['Comedy', 'Drama']",6.1,22856,16+,52,6754898
Карнан,2021,158,"['Action', 'Drama']",8.0,22848,NaN,0,0
Shiddat,2021,146,['Romance'],7.7,22844,NaN,0,0
Purple Rain,1984,111,"['Drama', 'Music', 'Romance']",6.5,22841,NaN,55,68392977
Дедушка нелегкого поведения,2020,94,"['Comedy', 'Drama', 'Family']",5.6,22838,6+,34,0
Цирк,2022,139,"['Comedy', 'Drama']",4.8,22838,NaN,0,0
Смурфики: Затерянная деревня,2017,90,"['Animation', 'Adventure', 'Comedy']",6.0,22826,6+,40,45020282
Узел дьявола,2013,114,"['Biography', 'Crime', 'Drama']",6.1,22816,NaN,42,0
Уондерлэнд,2003,104,"['Crime', 'Drama', 'Mystery']",6.5,22798,18+,43,1056102
Knife in the Water,1962,94,"['Drama', 'Thriller']",7.4,22782,NaN,0,0
Inferno,1980,106,['Horror'],6.5,22779,18+,69,0
The Parent Trap,1961,129,"['Comedy', 'Family', 'Romance']",7.2,22776,NaN,73,0
Крупье,1998,94,"['Crime', 'Drama']",7.0,22763,NaN,75,6198916
Медведь Йоги,2010,81,"['Animation', 'Adventure', 'Comedy']",4.6,22758,0+,35,100246011
Если твоя девушка зомби,2014,89,"['Comedy', 'Fantasy', 'Horror']",5.6,22738,16+,50,80315
Bдaли от нее,2006,110,['Drama'],7.5,22717,PG-13,88,4571521
Angst essen Seele auf,1974,92,"['Drama', 'Romance']",8.0,22717,NaN,0,0
La notte,1961,122,['Drama'],8.0,22716,NaN,0,39236
Видок,2001,98,"['Action', 'Crime', 'Fantasy']",6.4,22714,16+,0,0
Арн: Рыцарь-тамплиер,2007,139,"['Action', 'Drama', 'Romance']",6.6,22713,NaN,0,0
Особо опасна,2015,96,"['Action', 'Comedy', 'Family']",5.4,22711,PG-13,44,0
