title,year,country,director,actor_1,actor_2,ratingKP
Быть Джоном Малковичем,1999,США,Спайк Джонс,Джон Кьюсак,Кэмерон Диас,7.254
Искатели могил,2010,Канада,Колин Минихан,Шон Роджерсон,Мервин Мондесер,6.397
13 часов: Тайные солдаты Бенгази,2015,США,Майкл Бэй,Джон Красински,Джеймс Бэдж Дейл,6.77
"Боже, благослови Америку!",2011,США,Бобкэт Голдтуэйт,Джоэль Мюррей,Тара Барр,7.185
В пролёте,2008,США,Николас Столлер,Джейсон Сигел,Кристен Белл,6.661
Они,2018,США,Скотт Бек,Кэти Стивенс,Уилл Бриттейн,5.992
Асса,1987,СССР,Сергей Соловьев,Сергей Бугаев,Татьяна Друбич,7.768
Монстры,2010,Великобритания,Гарет Эдвардс,Скут Макнэри,Уитни Эйбл,5.858
Сердцеед,2010,Франция,Паскаль Шомель,Ромен Дюрис,Ванесса Паради,7.002
Астерикс и Обеликс в Британии,2012,Франция,Лоран Тирар,Жерар Депардье,Эдуард Баэр,5.682
Любовь прет-а-порте,2017,Россия,Макс Нардари,Ольга Погодина,Андреа Прети,5.001
Дом большой мамочки 2,2006,США,Джон Уайтселл,Мартин Лоуренс,Ниа Лонг,6.237
Серена,2014,Франция,Сюзанна Бир,Брэдли Купер,Дженнифер Лоуренс,6.206
За пригоршню долларов,1964,Италия,Серджио Леоне,Клинт Иствуд,Джан Мария Волонте,7.99
Черное золото,2011,Франция,Жан-Жак Анно,Антонио Бандерас,Тахар Рахим,7.339
Игла,1988,СССР,Рашид Нугманов,Виктор Цой,Марина Смирнова,7.412
Машина времени,2002,США,Саймон Уэллс,Гай Пирс,Саманта Мамба,7.089
Хороший доктор,2019,Франция,Тристан Сегела,Мишель Блан,Хаким Джемили,7.223
Конченая,2017,Ирландия,Вон Стайн,Марго Робби,Саймон Пегг,5.915
Стив Джобс,2015,Великобритания,Дэнни Бойл,Майкл Фассбендер,Сет Роген,6.678
Цель номер один,2012,США,Кэтрин Бигелоу,Джессика Честейн,Джейсон Кларк,6.78
Гусарская баллада,1962,СССР,Эльдар Рязанов,Лариса Голубкина,Юрий Яковлев,7.986
Смерть Сталина,2017,Великобритания,Армандо Ианнуччи,Стив Бушеми,Саймон Расселл Бил,6.838
На войне как на войне,1968,СССР,Виктор Трегубович,Михаил Кононов,Олег Борисов,8.383
Пьяный мастер,1978,Гонконг,Юэнь У-Пин,Джеки Чан,Юань Сяотянь,7.799
Посейдон,2006,США,Вольфганг Петерсен,Джош Лукас,Курт Рассел,6.543
Субурбикон,2017,Великобритания,Джордж Клуни,Мэтт Дэймон,Джулианна Мур,6.348
Книга мастеров,2009,Россия,Вадим Соколовский,Мария Андреева,Максим Локтионов,4.38
Рокки 4,1985,США,Сильвестр Сталлоне,Сильвестр Сталлоне,Талия Шайр,7.072
Морпехи,2005,США,Сэм Мендес,Джейк Джилленхол,Питер Сарсгаард,6.97
Детка,2014,США,Линн Шелтон,Кира Найтли,Хлоя Грейс Морец,6.57
Она,2015,Франция,Пол Верховен,Изабель Юппер,Лоран Лафитт,6.601
Роман с камнем,1984,Мексика,Роберт Земекис,Майкл Дуглас,Кэтлин Тёрнер,7.748
Вкус жизни,2007,США,Скотт Хикс,Кэтрин Зета-Джонс,Аарон Экхарт,7.324
Ночь на Земле,1991,Франция,Джим Джармуш,Джина Роулендс,Вайнона Райдер,7.899
Красавчик 2,2009,Германия,Тиль Швайгер,Тиль Швайгер,Нора Чирнер,7.12
Мидуэй,2019,США,Роланд Эммерих,Эд Скрейн,Патрик Уилсон,6.737
Любовь-морковь 2,2008,Россия,Максим Пежемский,Кристина Орбакайте,Гоша Куценко,5.344
Забавные игры,2007,США,Михаэль Ханеке,Наоми Уоттс,Тим Рот,6.639
Могучие рейнджеры,2017,США,Дин Израэлайт,Дэйкер Монтгомери,Наоми Скотт,5.546
Доктор Дулиттл,1998,США,Бетти Томас,Эдди Мерфи,Осси Дэвис,6.573
Беременный,2011,Россия,Сарик Андреасян,Дмитрий Дюжев,Михаил Галустян,2.52
Чак и Ларри: Пожарная свадьба,2007,США,Деннис Дуган,Адам Сэндлер,Кевин Джеймс,6.802
Похороните меня за плинтусом,2008,Россия,Сергей Снежкин,Александр Дробитько,Светлана Крючкова,7.126
Шоссе в никуда,1996,Франция,Дэвид Линч,Билл Пуллман,Патриша Аркетт,7.434
Рокки 3,1982,США,Сильвестр Сталлоне,Сильвестр Сталлоне,Мистер Ти,7.402
Джунгли,2012,Россия,Александр Войтинский,Сергей Светлаков,Вера Брежнева,5.283
Валентинка,2010,США,Дерек Сиенфрэнс,Райан Гослинг,Мишель Уильямс,7.077
Легенда Зорро,2005,США,Мартин Кэмпбелл,Антонио Бандерас,Кэтрин Зета-Джонс,6.967
Ягуар,1996,Франция,Франсис Вебер,Жан Рено,Патрик Брюэль,7.297
Мистер Бин,1997,Великобритания,Мэл Смит,Роуэн Эткинсон,Питер МакНикол,7.285
Рога,2013,США,Александр Ажа,Дэниэл Рэдклифф,Джуно Темпл,6.536
Жажда смерти,2017,США,Элай Рот,Брюс Уиллис,Винсент Д’Онофрио,6.603
Центурион,2009,Великобритания,Нил Маршалл,Майкл Фассбендер,Доминик Уэст,6.6
Без тормозов,2016,Франция,Николя Бенаму,Хосе Гарсия,Андре Дюссолье,6.367
Я видел дьявола,2010,Корея,Ким Джи-ун,Ли Бён-хон,Чхве Мин-сик,7.593
Землетрясение,2010,Китай,Фэн Сяоган,Сюй Фань,Чжан Цзинчу,7.95
Кит,2022,США,Даррен Аронофски,Брендан Фрейзер,Сэди Синк,7.746
Мосты округа Мэдисон,1995,США,Клинт Иствуд,Клинт Иствуд,Мэрил Стрип,7.982
Олигарх,2002,Россия,Павел Лунгин,Владимир Машков,Мария Миронова,7.334
Общак,2014,США,Михаэль Р. Роскам,Том Харди,Нуми Рапас,6.7
Невыносимая тяжесть огромного таланта,2022,США,Том Гормикэн,Николас Кейдж,Педро Паскаль,7.059
Шафер напрокат,2015,США,Джереми Гарелик,Кевин Харт,Джош Гад,6.8
Двойная жизнь Чарли Сан-Клауда,2010,Канада,Бёрр Стирс,Зак Эфрон,Аманда Крю,7.544
Крик 3,2000,США,Уэс Крэйвен,Нив Кэмпбелл,Кортни Кокс,6.389
Ассасин: Битва миров,2021,Китай,Лу Ян,Лэй Цзяинь,Ян Ми,6.105
Лунный свет,2016,США,Барри Дженкинс,Алекс Р. Хибберт,Эштон Сандерс,6.166
Джерри Магуайер,1996,США,Кэмерон Кроу,Том Круз,Рене Зеллвегер,7.443
"Я знаю, что вы сделали прошлым летом",1997,США,Джим Гиллеспи,Дженнифер Лав Хьюитт,Сара Мишель Геллар,6.648
Список контактов,2008,США,Марсель Лангенеггер,Юэн Макгрегор,Хью Джекман,6.816
"Где моя тачка, чувак?",2000,США,Дэнни Лейнер,Эштон Кутчер,Шонн Уильям Скотт,6.206
Выпускной,2014,Россия,Всеволод Бродский,Виктор Грудев,Кристина Исайкина,3.853
Медвежатник,2001,США,Фрэнк Оз,Роберт Де Ниро,Эдвард Нортон,7.216
Собака на сене,1977,СССР,Ян Фрид,Маргарита Терехова,Михаил Боярский,8.082
Маршалл,2017,США,Реджинальд Хадлин,Чедвик Боузман,Джош Гад,7.807
Звонок мертвецу,2018,Германия,Кристиан Альварт,Мориц Бляйбтрой,Ясна Фритци Бауэр,6.881
Неогранённые алмазы,2019,США,Бенни Сэфди,Адам Сэндлер,Джулия Фокс,7.155
Агора,2009,Испания,Алехандро Аменабар,Рэйчел Вайс,Макс Мингелла,7.603
Эксперимент,2010,США,Пол Шойринг,Эдриан Броуди,Форест Уитакер,6.882
Дэнни Цепной пес,2005,Франция,Луи Летерье,Джет Ли,Морган Фриман,7.529
Клетка,2000,США,Тарсем Сингх,Дженнифер Лопес,Винс Вон,7.052
Крутая Джорджия,2007,США,Гэрри Маршалл,Джейн Фонда,Линдси Лохан,6.779
Мальчики-налетчики,2010,США,Джон Льюсенхоп,Пол Уокер,Хейден Кристенсен,6.915
Голоса,2014,США,Маржан Сатрапи,Райан Рейнольдс,Джемма Артертон,6.34
Всё путём,2009,США,Кирк Джонс,Роберт Де Ниро,Кейт Бекинсейл,7.694
Скрюченный домишко,2017,Великобритания,Жиль Паке-Бреннер,Макс Айронс,Стефани Мартини,6.648
Счастливчик Гилмор,1996,США,Деннис Дуган,Адам Сэндлер,Кристофер Макдональд,7.309
Идеальный побег,2009,США,Дэвид Туи,Стив Зан,Тимоти Олифант,6.9
Хороший мальчик,2016,Россия,Оксана Карас,Семён Трескунов,Константин Хабенский,6.607
Корабль в Пусан,2022,Корея,Ким Хон-сон,Со Ин-гук,Чан Дон-юн,5.694
Полицейский из Беверли-Хиллз,1984,США,Мартин Брест,Эдди Мерфи,Джадж Райнхолд,7.646
Бьютифул,2009,Мексика,Алехандро Гонсалес Иньярриту,Хавьер Бардем,Марисель Альварес,7.685
Толкин,2019,США,Доме Карукоски,Николас Холт,Лили Коллинз,7.341
Как прогулять школу с пользой,2017,Франция,Николя Ванье,Франсуа Клюзе,Жан Скандель,8.051
Вавилон,2022,США,Дэмьен Шазелл,Диего Кальва,Марго Робби,7.486
30 дней ночи,2007,США,Дэвид Слэйд,Джош Хартнетт,Мелисса Джордж,6.576
Ромео и Джульетта,1968,Великобритания,Франко Дзеффирелли,Леонард Уайтинг,Оливия Хасси,8.206
Дети Уиндермира,2020,Великобритания,Майкл Сэмюэлс,Томас Кречман,Ромола Гарай,7.782
Курск,2018,Франция,Томас Винтерберг,Маттиас Шонартс,Леа Сейду,6.536
Погребальные байки,2019,США,Райан Р. Спинделл,Клэнси Браун,Кейтлин Кастер,6.349
Аноним,2011,Великобритания,Роланд Эммерих,Рис Иванс,Ванесса Редгрейв,7.483
Побег из Вегаса,2010,США,Николас Столлер,Расселл Брэнд,Джона Хилл,6.567
Казанова,2005,США,Лассе Халльстрём,Хит Леджер,Сиенна Миллер,7.558
Я тоже хочу,2012,Россия,Алексей Балабанов,Александр Мосин,Олег Гаркуша,6.5
Здесь курят,2005,США,Джейсон Райтман,Аарон Экхарт,Мария Белло,7.312
Детсадовский полицейский,1990,США,Айвен Райтман,Арнольд Шварценеггер,Пенелопа Энн Миллер,6.888
Кукушка,2002,Россия,Александр Рогожкин,Анни-Кристина Юусо,Вилле Хаапасало,7.625
Золото дураков,2008,США,Энди Теннант,Мэттью МакКонахи,Кейт Хадсон,6.666
