title,year,country,director,actor_1,actor_2,ratingKP
Дуэль братьев. История Adidas и Puma,2016,Германия,Оливер Домменгет,Кен Дукен,Торбен Либрехт,7.165
Вишневая бомба,2009,Великобритания,Лиза Баррос Д’Са,Руперт Гринт,Роберт Шиэн,6.382
Флаги наших отцов,2006,США,Клинт Иствуд,Райан Филипп,Джесси Брэдфорд,7.019
Зажигание,2013,Испания,Даниэль Кальпарсоро,Альберто Амман,Адриана Угарте,6.621
Белфаст,2021,Великобритания,Кеннет Брана,Катрина Балф,Джуди Денч,7.001
Стикер,2022,Россия,Дмитрий Баран,Иван Стебунов,Александр Самойленко,5.805
Районы,2016,Казахстан,Акан Сатаев,Шарип Серик,Асель Сагатова,7.033
НЛО,2018,США,Райан Эслинджер,Алекс Шарп,Джиллиан Андерсон,6.156
Крокодил Данди в Лос-Анджелесе,2001,Австралия,Саймон Уинсер,Пол Хоган,Линда Козловски,6.191
"Жаным, ты не поверишь!",2019,Казахстан,Ернар Нургалиев,Данияр Алшинов,Асель Калиева,6.839
Зло,2003,Швеция,Микаэль Хофстрём,Андреас Уилсон,Хенрик  Лундстрем,7.831
Шедевр,2018,Аргентина,Гастон Дюпра,Андреа Акатто,Лукас Аранда,7.139
Вскрытие,2008,США,Адам Гираш,Джессика Лаундс,Росс Кон,5.053
Глухарь в кино,2010,Россия,Владимир Виноградов,Максим Аверин,Денис Рожков,6.491
Папина дочка,2020,Франция,Мишель Хазанавичус,Омар Си,Кейла Фала,6.43
Апостол,2018,Великобритания,Гарет Эванс,Дэн Стивенс,Люси Бойнтон,6.166
Улица страха. Часть 1: 1994,2021,США,Ли Джаньяк,Киана Мадейра,Оливия Уэлш,5.923
Оливер Твист,2005,Франция,Роман Полански,Барни Кларк,Бен Кингсли,7.144
Курьер,2019,Великобритания,Закари Адлер,Ольга Куриленко,Гари Олдман,5.455
Безумный девичник,2021,Италия,Франческо Аполлони,Beatrice Bartoni,Лоредана Берте,6.382
Клятва,2016,Исландия,Бальтасар Кормакур,Бальтасар Кормакур,Гисли Орн Гардарссон,6.089
Клуб бунтарей,2014,Великобритания,Лоне Шерфиг,Сэм Клафлин,Макс Айронс,6.099
Открытие,2017,США,Чарли Макдауэлл,Джейсон Сигел,Руни Мара,6.196
Мастер тай-цзи,2013,США,Киану Ривз,Тайгер Чэнь,Киану Ривз,6.094
Няня,2020,США,Флория Сиджизмонди,Маккензи Дэвис,Финн Вулфхард,4.612
Фанат,1989,СССР,Владимир Феоктистов,Алексей Серебряков,Юрий Горобец,7.209
Обыграть миллиардера,2021,США,Скотт Бриньяк,Ханна Касулка,Люк Бенвард,6.585
Кладбище домашних животных 2,1992,США,Мэри Ламберт,Эдвард Ферлонг,Энтони Эдвардс,6.142
Внеземной,2007,Украина,Сергей Крутин,Юрий Степанов,Виталий Линецкий,7.514
Мальтийский сокол,1941,США,Джон Хьюстон,Хамфри Богарт,Мэри Астор,7.711
Модификаты,2019,Канада,Джеймс Марк,Джордж Чертов,Аланна Бэйл,5.694
Паганини: Скрипач Дьявола,2013,Германия,Бернард Роуз,Дэвид Гэрретт,Джаред Харрис,6.806
Щепка,1993,США,Филлип Нойс,Шэрон Стоун,Уильям Болдуин,6.596
Белая лента,2009,Германия,Михаэль Ханеке,Леонард Проксауф,Мария-Виктория Драгуш,7.33
Мир будущего,2018,США,Джеймс Франко,Джеймс Франко,Сьюки Уотерхаус,4.184
Плюс один,2008,Россия,Оксана Бычкова,Мадлен Джабраилова,Джетро Скиннер,7.128
Моя пиратская свадьба,2022,США,Джейсон Мур,Дженнифер Лопес,Джош Дюамель,5.849
18-14,2007,Россия,Андрес Пуустусмаа,Степан Балакшин,Стас Белозёров,6.758
Прячься,2020,США,Давид Шарбонье,Лонни Чевис,Эзра Дьюи,5.849
Скин,2018,США,Гай Наттив,Джейми Белл,Даниэль Макдональд,6.739
Эмма,1996,Великобритания,Дуглас МакГрат,Гвинет Пэлтроу,Алан Камминг,7.078
Все ждут Рождество 2: Люси и магический кристалл,2020,Дания,Кристиан Дюэкьер,Элла Теста Куск,Бертил Смит,7.262
Джей и Молчаливый Боб: Перезагрузка,2019,США,Кевин Смит,Джейсон Мьюз,Кевин Смит,5.989
Фанфан-тюльпан,2003,Франция,Жерар Кравчик,Венсан Перес,Пенелопа Крус,6.619
Большие надежды,1998,США,Альфонсо Куарон,Итан Хоук,Гвинет Пэлтроу,7.244
БайБайМэн,2016,США,Стэйси Тайтл,Дуглас Смит,Люсьен Лависконт,4.984
Драйвер на ночь,2014,США,Джо Карнахан,Патрик Уилсон,Эд Хелмс,6.259
Обещание,2000,США,Шон Пенн,Джек Николсон,Патриша Кларксон,6.917
Путешествие на край Вселенной,2008,Великобритания,Явар Аббас,Алек Болдуин,Шон Пертуи,8.427
Кукольник,2022,Россия,Сергей Кузнецов,Мария Миронова,Виталия Корниенко,5.894
Хэллоуин 2,1981,США,Рик Розенталь,Джейми Ли Кёртис,Дональд Плезенс,6.553
Самый жестокий год,2014,США,Джей Си Чендор,Оскар Айзек,Джессика Честейн,6.558
Лучшая жизнь,2011,США,Крис Вайц,Демиан Бичир,Эдди ’Пайолин’ Сотело,7.121
Сколько ты стоишь?,2005,Италия,Бертран Блие,Моника Беллуччи,Бернар Кампан,6.284
"Нью-Йорк, Нью-Йорк",2008,США,Чарли Кауфман,Филип Сеймур Хоффман,Саманта Мортон,7.026
Пирсинг,2017,США,Николас Пеш,Кристофер Эбботт,Лайа Коста,5.608
Разборки в маленьком Токио,1991,США,Марк Л. Лестер,Дольф Лундгрен,Брэндон Ли,7.16
Двойная страховка,1944,США,Билли Уайлдер,Фред Макмюррэй,Барбара Стэнвик,7.95
Весна,2014,США,Джастин Бенсон,Лу Тэйлор Пуччи,Надиа Хилкер,6.584
Гонка века,2017,Великобритания,Джеймс Марш,Колин Фёрт,Элинор Стэгг,6.235
"Это безумный, безумный, безумный, безумный мир",1963,США,Стэнли Крамер,Спенсер Трэйси,Милтон Берл,7.713
Поворот не туда 5: Кровное родство,2012,США,Деклан О’Брайен,Даг Брэдли,Камилла Арведсон,4.098
Катись!,2009,США,Дрю Бэрримор,Эллиот Пейдж,Алиа Шокат,6.755
Я иду искать. Королевская игра,2022,Великобритания,Томми Боулдинг,Саманта Бонд,Малачи Пуллар-Латчмен,5.412
Пэрл,2022,Канада,Тай Уэст,Миа Гот,Дэвид Коренсвет,6.637
Морское приключение,2002,США,Морт Нэтан,Кьюба Гудинг мл.,Оратио Санс,6.585
Маршрут построен,2016,Россия,Олег Асадулин,Светлана Устинова,Павел Чинарёв,3.994
Если твоя девушка – зомби,2014,США,Джефф Бэйна,Дэйн ДеХаан,Джон Си Райли,5.113
"С любовью, Антоша",2019,США,Гаррет Прайс,Антон Ельчин,Джей Джей Абрамс,8.4
Красная Шапочка,2022,Россия,Лина Арифулина,Таисья Калинина,Данила Якушев,4.444
Сирано. Успеть до премьеры,2018,Франция,Алексис Михалик,Тома Соливерес,Оливье Гурме,7.855
Офисное пространство,1999,США,Майк Джадж,Рон Ливингстон,Дженнифер Энистон,6.827
Есения,1971,Мексика,Альфредо Б. Кревенна,Жаклин Андере,Хорхе Лават,7.658
Золушка,2021,США,Кэй Кэннон,Камила Кабейо,Николас Голицын,4.725
На секретной службе Её Величества,1969,Великобритания,Питер Р. Хант,Джордж Лэзенби,Дайана Ригг,6.693
Ямакаси 2,2004,Великобритания,Жюльен Сери,Уильямс Белль,Чау Бель Дин,5.653
48 часов,1982,США,Уолтер Хилл,Ник Нолти,Эдди Мерфи,7.162
Сезон измен,2017,Ирландия,Марк О’Роу,Киллиан Мерфи,Ева Бертистл,6.251
16 желаний,2010,Канада,Питер ДеЛуис,Дебби Райан,Жан-Люк Билодо,6.136
Ещё одна настоящая любовь,2022,США,Энди Фикмен,Филлипа Су,Люк Брейси,6.91
Лихорадка,2003,США,Элай Рот,Райдер Стронг,Джордан Лэдд,5.98
Вас не догонят,2001,Канада,Леа Пул,Пайпер Перабо,Джессика Паре,7.418
Скромное обаяние буржуазии,1972,Франция,Луис Бунюэль,Фернандо Рей,Поль Франкёр,7.686
Овсянки,2010,Россия,Алексей Федорченко,Юрий Цурило,Игорь Сергеев,5.868
Романтики «303»,2018,Германия,Ханс Вайнгартнер,Мала Эмде,Антон Спикер,7.413
Мистер Судьба,1990,США,Джеймс Орр,Джеймс Белуши,Линда Хэмилтон,7.599
Третья персона,2013,Бельгия,Пол Хаггис,Лиам Нисон,Мила Кунис,6.668
Ран,1985,Япония,Акира Куросава,Тацуя Накадаи,Акира Тэрао,7.863
Уродцы,1932,США,Тод Браунинг,Уоллес Форд,Лейла Хайамс,7.809
Время,2006,Корея,Ким Ки Дук,Сон Хён-а,Ха Джон-у,7.329
Бывшая,2021,Россия,Евгений Пузыревский,Вера Кинчева,Константин Белошапка,5.186
Мистер Пип,2012,Новая,Эндрю Адамсон,Хью Лори,Экзанья Матси,7.208
Деловая женщина,1988,США,Майк Николс,Мелани Гриффит,Харрисон Форд,7.26
Ярость 2,2014,Канада,Уве Болл,Брендан Флетчер,Локлин Манро,6.302
Пока мы молоды,2014,США,Ноа Баумбак,Бен Стиллер,Наоми Уоттс,6.359
Демоны Деборы Логан,2014,США,Адам Робител,Джилл Ларсон,Энн Рэмси,5.201
Возмездие,2013,Австралия,Джонатан Теплицки,Джереми Ирвин,Колин Фёрт,7.032
Сталинград,1989,СССР,Юрий Озеров,Пауэрс Бут,Любомирас Лауцявичюс,7.846
Пакт,2011,США,Николас МакКарти,Кейти Лотц,Кэтлин Роуз Перкинс,5.592
Тайны прошлого,2004,США,Дэвид Духовны,Антон Ельчин,Робин Уильямс,7.23
Девять,2009,США,Роб Маршалл,Дэниэл Дэй-Льюис,Николь Кидман,6.451
Однажды в провинции,2008,Россия,Катя Шагалова,Эльвира Болгова,Александр Голубев,6.759
Реинкарнация: Пришествие дьявола,2020,Канада,Джастин Дж. Дайк,Шейла Маккарти,Джулиан Ричингс,5.475
Дракулов,2021,Россия,Илья Куликов,Михаил Галустян,Денис Васильев,4.173
Дерсу Узала,1975,СССР,Акира Куросава,Максим Мунзук,Юрий Соломин,8.022
Halo: Сумерки,2014,США,Серджо Мимика-Геззан,Стивен Уоддингтон,Сиенна Бак,5.463
Универсальный солдат 2: Возвращение,1999,США,Мик Роджерс,Жан-Клод Ван Дамм,Майкл Джей Уайт,5.03
Кокаиновый медведь,2023,США,Элизабет Бэнкс,Кери Рассел,Олден Эренрайк,5.924
Пуля,1995,США,Джульен Темпл,Микки Рурк,Тупак Шакур,7.34
Однажды,2013,Россия,Ренат Давлетьяров,Юрий Дейнекин,Дарья Мельникова,6.437
"Я знаю, кто убил меня",2007,США,Крис Сивертсон,Линдси Лохан,Джулия Ормонд,5.174
Подручный Хадсакера,1994,Великобритания,Джоэл Коэн,Тим Роббинс,Дженнифер Джейсон Ли,7.254
Идеальный голос 3,2017,США,Триш Си,Анна Кендрик,Ребел Уилсон,6.156
Анжелика и король,1965,Франция,Бернар Бордери,Мишель Мерсье,Робер Оссейн,7.863
Виктория,2015,Германия,Себастьян Шиппер,Лайа Коста,Фредерик Лау,6.861
Представь нас вместе,2005,Великобритания,Ол Паркер,Пайпер Перабо,Лина Хиди,7.011
Подземка,1985,Франция,Люк Бессон,Изабель Аджани,Кристофер Ламберт,7.155
Супер,2010,США,Джеймс Ганн,Рэйн Уилсон,Эллиот Пейдж,6.597
Паспорт,1990,СССР,Георгий Данелия,Жерар Дармон,Наталья Гундарева,7.474
Банкомат,2011,США,Дэвид Брукс,Брайан Джерати,Элис Ив,4.779
Паранормальное явление: Ночь в Токио,2010,Япония,Тосикадзу Нагаэ,Аои Накамура,Норико Аояма,5.576
"Спокойной ночи, мамочка",2014,Австрия,Северин Фиала,Лукас Шварц,Элиас Шварц,6.043
Обед нагишом,1991,Канада,Дэвид Кроненберг,Питер Уэллер,Джуди Дэвис,7.098
Мёбиус,2013,Франция,Эрик Рошан,Жан Дюжарден,Сесиль де Франс,6.293
Четверг,2022,Индия,Behzad Khambata,Ями Гаутам,Атул Кулкарни,7.24
Фантоцци,1975,Италия,Лучано Сальче,Паоло Вилладжо,Анна Маццамауро,7.597
Каникулы мечты,2014,Великобритания,Энди Хэмилтон,Розамунд Пайк,Дэвид Теннант,6.845
Преданный садовник,2005,Великобритания,Фернанду Мейреллиш,Рэйф Файнс,Рэйчел Вайс,7.085
Привычка жениться,1991,США,Джерри Рис,Ким Бейсингер,Алек Болдуин,7.541
Житие Брайана по Монти Пайтон,1979,Великобритания,Терри Джонс,Грэм Чепмен,Джон Клиз,7.805
Связь,1996,США,Лана Вачовски,Дженнифер Тилли,Джина Гершон,7.353
Агент Коди Бэнкс 2: Пункт назначения – Лондон,2004,США,Кевин Аллен,Фрэнки Муниз,Энтони Андерсон,5.141
Человек с золотым пистолетом,1974,Великобритания,Гай Хэмилтон,Роджер Мур,Кристофер Ли,6.955
Ева: Искусственный разум,2011,Испания,Кике Маильо,Клаудия Вега,Даниэль Брюль,6.726
Призраки Марса,2001,США,Джон Карпентер,Наташа Хенстридж,Айс Кьюб,5.266
Где-то,2010,США,София Коппола,Стивен Дорфф,Эль Фаннинг,5.908
Злая шутка,2016,Россия,Сергей Швыдкой,Диана Пожарская,Евгений Шириков,5.529
Здравствуй и прощай,1972,СССР,Виталий Мельников,Людмила Зайцева,Олег Ефремов,7.931
Первый клон,2020,Корея,Ли Ён-джу,Кон Ю,Пак По-гом,6.568
К-911,1999,США,Чарли Гэнис,Джеймс Белуши,Мак,7.047
Крейсер,2016,США,Марио Ван Пиблз,Николас Кейдж,Том Сайзмор,5.742
Мисс Плохое поведение,2020,Великобритания,Филиппа Лоуторп,Кира Найтли,Гугу Эмбата-Ро,6.445
Мужской стриптиз,1997,Великобритания,Питер Каттанео,Роберт Карлайл,Марк Эдди,7.387
Сексуальные хроники французской семьи,2012,Франция,Жан-Марк Барр,Матиас Меллул,Валери Маэс,5.061
Достать коротышку,1995,США,Барри Зонненфельд,Джон Траволта,Джин Хэкмен,7.01
Девочка,2018,Нидерланды,Лукас Донт,Виктор Полстер,Арье Вортхальтер,6.488
Вспомни все,2017,Великобритания,Марк Палански,Питер Динклэйдж,Мэтт Эллис,6.35
Стертая личность,2018,Австралия,Джоэл Эдгертон,Лукас Хеджес,Николь Кидман,6.547
Голубой байу,2021,США,Джастин Чон,Джастин Чон,Алисия Викандер,7.672
Бекки,2020,США,Джонатан Милотт,Лулу Уилсон,Кевин Джеймс,5.94
Веселые ребята,1934,СССР,Григорий Александров,Леонид Утесов,Любовь Орлова,7.215
Друг в океане,2022,Австралия,Роберт Коннолли,Миа Васиковска,Рада Митчелл,7.54
Змеиный источник,1997,Россия,Николай Лебедев,Екатерина Гусева,Ольга Остроумова,6.969
Живи и дай умереть,1973,Великобритания,Гай Хэмилтон,Роджер Мур,Яфет Котто,6.876
Что скрывает вода,2020,США,Брэйден Р. Дуэммлер,Эма Хорват,Мена Сувари,4.75
Искусственный интеллект. Доступ неограничен,2016,Ирландия,Джон Мур,Пирс Броснан,Джеймс Фрешвилл,5.325
Поездка,2021,Норвегия,Томми Виркола,Нуми Рапас,Аксель Хенни,6.753
Сэм: Песочный эльф,2019,Великобритания,Энди де Эммони,Билли Дженкинс,Элли-Мэй Сиаме,7.606
Между нами музыка,2015,США,Терренс Малик,Натали Портман,Майкл Фассбендер,6.314
Контракт,2005,Германия,Брюс Бересфорд,Морган Фриман,Джон Кьюсак,6.158
Проклятие,2002,Япония,Такаси Симидзу,Мэгуми Окина,Мисаки Ито,6.718
Кольцо Нибелунгов,2004,Германия,Ули Эдель,Бенно Фюрман,Кристанна Локен,7.173
Кино про Алексеева,2014,Россия,Михаил Сегал,Александр Збруев,Алексей Капитонов,6.957
Оставленные,2014,США,Вик Армстронг,Николас Кейдж,Чад Майкл Мюррэй,4.169
Мечтатель,2005,США,Джон Гэйтинс,Курт Рассел,Дакота Фаннинг,7.733
Принцесса специй,2005,США,Пол Маеда Берджес,Айшвария Рай Баччан,Дилан МакДермотт,6.595
Ведьмы,1989,Великобритания,Николас Роуг,Анжелика Хьюстон,Май Сеттерлинг,7.016
Безродные звери,2015,США,Кэри Дзёдзи Фукунага,Абрам Атта,Идрис Эльба,7.309
Рыцарь кубков,2014,США,Терренс Малик,Кристиан Бэйл,Кейт Бланшетт,6.302
Энни,2014,США,Уилл Глак,Куавенжане Уоллис,Джейми Фокс,6.256
Голоса большой страны,2016,Россия,Таир Мамедов,Алена Тойминцева,Андрей Гризли,5.817
Плачущий убийца,1995,Франция,Кристоф Ган,Марк Дакаскос,Джули Кондра,6.97
Звездная карта,2014,Канада,Дэвид Кроненберг,Джулианна Мур,Миа Васиковска,5.761
Эта безумная любовь,2021,Франция,Режис Руансар,Ромен Дюрис,Виржини Эфира,7.124
Переводчица,2005,Великобритания,Сидни Поллак,Николь Кидман,Шон Пенн,6.637
На расстоянии удара,1993,США,Роуди Херрингтон,Брюс Уиллис,Сара Джессика Паркер,6.808
Пещера,2005,США,Брюс Хант,Коул Хаузер,Эдди Сибриан,5.917
Оккупация: Миссия «Дождь»,2020,Австралия,Люк Спарк,Дэниэл Юинг,Темуэра Моррисон,5.708
Человек тьмы,1990,США,Сэм Рэйми,Лиам Нисон,Фрэнсис Макдорманд,6.906
Квест,2016,США,Питер Дьюкс,Скит Ульрих,Шон Янг,4.476
Зои,2018,США,Дрейк Доримус,Юэн Макгрегор,Леа Сейду,6.259
Будь круче!,2005,США,Ф. Гэри Грей,Джон Траволта,Ума Турман,6.197
Девушка с косой,2017,Россия,Ольга Гнедич,Александра Урсуляк,Виктор Добронравов,6.096
"Шпион, который меня любил",1977,Великобритания,Льюис Гилберт,Роджер Мур,Барбара Бах,7.097
Вундеркинды,2000,США,Кёртис Хэнсон,Майкл Дуглас,Тоби Магуайр,7.049
Дрожь земли 3,2001,США,Брент Мэддок,Майкл Гросс,Шон Кристиан,5.622
Фаренгейт 9/11,2004,США,Майкл Мур,Бен Аффлек,Стиви Уандер,7.733
Аферисты,2022,США,Бенджамин Карон,Себастиан Стэн,Джулианна Мур,6.699
Новости со всех концов света,2020,США,Пол Гринграсс,Том Хэнкс,Хелена Ценгель,6.625
Власть убийц,2010,Китай,Су Чаобинь,Мишель Йео,Чон У-сон,7.061
Исчезновение Сидни Холла,2017,США,Шон Кристенсен,Логан Лерман,Эль Фаннинг,7.098
Тёмная сторона,2018,США,Генри Джейкобсон,Шонн Уильям Скотт,Мариэла Гаррига,5.923
Кэндимэн,1992,США,Бернард Роуз,Вирджиния Мэдсен,Тони Тодд,6.696
Домоправитель,2013,Украина,Роман Барабаш,Илья Глинников,Алика Смехова,6.368
Преступление и наказание,1969,СССР,Лев Кулиджанов,Георгий Тараторкин,Иннокентий Смоктуновский,8.153
"Голубь сидел на ветке, размышляя о бытии",2014,Швеция,Рой Андерссон,Нилс Вестблом,Хольгер Андерссон,6.443
Ведьма,2006,Россия,Олег Фесенко,Валерий Николаев,Евгения Крюкова,3.695
Фантастическая любовь и где ее найти,2016,Великобритания,Саймон Эбауд,Джессика Браун-Финдли,Том Уилкинсон,6.78
Великолепная,2018,Франция,Мишель Ларок,Мишель Ларок,Кад Мерад,6.203
"Ой, мамочки",2017,Франция,Ноэми Сальо,Жюльет Бинош,Камилль Коттен,6.186
Человек,2015,Франция,Янн Артюс-Бертран,Luis Cancu,Атман,8.738
Момент истины,2020,США,Колин Крайсел,Зак Эйвери,Карли Чаикин,5.854
Сломанная стрела,1996,США,Джон Ву,Джон Траволта,Кристиан Слэйтер,6.756
Возвращение живых мертвецов,1984,США,Дэн О’Бэннон,Клу Гулагер,Джеймс Карен,7.226
Старая закалка,2002,США,Тодд Филлипс,Люк Уилсон,Уилл Феррелл,6.701
Джейн берет ружье,2015,США,Гэвин О’Коннор,Натали Портман,Джоэл Эдгертон,5.781
Будущее планеты: Жизнь после людей,2008,США,Дэвид де Фриз,Струан Роджер,Джон Андерсон,7.362
Жареные зеленые помидоры,1991,США,Джон Эвнет,Кэти Бейтс,Мэри Стюарт Мастерсон,7.693
Опасный свидетель,2022,США,Майк Бёрнс,Брюс Уиллис,Эшли Грин,5.327
Русская пятёрка,2018,США,Джошуа Риль,Владимир Константинов,Вячеслав Фетисов,8.734
Небесные создания,1994,Новая,Питер Джексон,Мелани Лински,Кейт Уинслет,6.945
Просто кровь,1983,США,Джоэл Коэн,Джон Гец,Фрэнсис Макдорманд,7.391
Заклинание,2020,США,Марк Тондерай,Омари Хардвик,Лоретта Дивайн,5.926
Кобейн: Чёртов монтаж,2015,США,Бретт Морген,Курт Кобейн,Венди О’Коннор,7.735
Очень женские истории,2020,Россия,Наташа Меркулова,Анна Михалкова,Виктория Исакова,5.75
Город потерянных детей,1995,Франция,Марк Каро,Рон Перлман,Жюдит Витте,7.185
Ядовитый плющ,1992,США,Кэтт Ши,Дрю Бэрримор,Сара Гилберт,6.721
Двое,2018,Россия,Тимофей Жалнин,Антон Момот,Татьяна Палеева,6.254
"Париж, Техас",1984,Германия,Вим Вендерс,Гарри Дин Стэнтон,Настасья Кински,7.882
Дети Хуанг Ши,2007,Австралия,Роджер Споттисвуд,Джонатан Риз Майерс,Рада Митчелл,7.398
Операция «С новым годом»,1996,Россия,Александр Рогожкин,Алексей Булдаков,Сергей Маковецкий,6.367
Верующие,2008,США,Ларри Чарльз,Билл Маар,Таль Бачман,7.762
Чужие на районе,2011,Великобритания,Джо Корниш,Джоди Уиттакер,Джон Бойега,5.892
Шёпот,2006,США,Стюарт Хендлер,Джош Холлоуэй,Сара Уэйн Кэллис,6.019
Сюрприз,2015,Нидерланды,Майк ван Дим,Йерун ван Конингсбругге,Георгина Вербаан,6.677
Изгои,1983,США,Фрэнсис Форд Коппола,Си Томас Хауэлл,Ральф Маччио,7.177
"Вонг Фу, с благодарностью за всё! Джули Ньюмар",1995,США,Бибан Кидрон,Уэсли Снайпс,Патрик Суэйзи,7.757
Кинг-Конг,1976,США,Джон Гиллермин,Джефф Бриджес,Чарльз Гродин,7.116
Вестсайдская история,2021,США,Стивен Спилберг,Рэйчел Зеглер,Энсел Элгорт,6.748
От 180 и выше,2005,Россия,Александр Стриженов,Евгений Стычкин,Иван Ургант,5.676
Марионетка,2020,Нидерланды,Элберт ван Стриен,Текла Рютен,Элайджа Вульф,6.328
Сладкая женщина,1976,СССР,Владимир Фетин,Наталья Гундарева,Пётр Вельяминов,7.37
Юнона и Авось,1983,СССР,Марк Захаров,Николай Караченцов,Елена Шанина,8.155
Секта,2019,Италия,Роберто Де Фео,Франческа Каваллин,Джастин Коровкин,5.628
Полуночный человек,2016,США,Трэвис Заривны,Лин Шэй,Габриэль Хоф,4.915
Вы не знаете Джека,2010,США,Барри Левинсон,Аль Пачино,Сьюзен Сарандон,7.322
Смешанные чувства,2014,Россия,Георгий Малков,Александр Ревва,Павел Деревянко,4.917
Одинокие сердца,2005,Германия,Тодд Робинсон,Джон Траволта,Джеймс Гандольфини,6.965
Рождественское меню,2022,США,Т.У. Пикок,Мерритт Паттерсон,Дэниел Лиссинг,6.707
Замороженный,1969,Франция,Эдуар Молинаро,Луи де Фюнес,Микаэль Лонсдаль,7.594
Любовь как искупление,2022,США,Ди Джей Карузо,Эбигейл Ф. Коуэн,Том Льюис,6.683
Сен-Лоран. Стиль – это я,2014,Франция,Бертран Бонелло,Гаспар Ульель,Жереми Ренье,6.215
Молитвы за Бобби,2008,США,Рассел Малкэй,Сигурни Уивер,Генри Черни,7.953
Чапаев,1934,СССР,Георгий Васильев,Борис Бабочкин,Леонид Кмит,7.833
Заложники Марса,2020,Великобритания,Уайатт Рокфеллер,София Бутелла,Исмаэль Крус Кордова,5.197
Сокровища О.К.,2013,Россия,Дмитрий Коробкин,Алексей Воробьёв,Эльвира Ибрагимова,2.837
Амстердам,2022,США,Дэвид О. Расселл,Кристиан Бэйл,Марго Робби,6.108
Булки,2022,Россия,Олег Асадулин,Кристина Асмус,Арсений Робак,5.492
Месть,1989,Мексика,Тони Скотт,Кевин Костнер,Мэделин Стоу,7.228
Только ты,1994,США,Норман Джуисон,Мариса Томей,Роберт Дауни мл.,7.594
Моя мачеха – инопланетянка,1988,США,Ричард Бенджамин,Дэн Эйкройд,Ким Бейсингер,6.635
Счастливы вместе,2009,США,Джош Рэднор,Джош Рэднор,Кейт Мара,6.979
Правила жизни французского парня,2013,Франция,Бенжамен Гедж,Батист Лекаплен,Шарлотта Ле Бон,7.062
Ледяной,2012,США,Ариэль Вромен,Майкл Шеннон,Вайнона Райдер,6.555
Кодекс киллера,2021,Великобритания,Мартин Кэмпбелл,Мэгги Кью,Майкл Китон,5.896
Охотники,2013,США,Ниша Ганатра,Виктор Гарбер,Мишель Форбс,5.87
Богиня: Как я полюбила,2004,Россия,Рената Литвинова,Рената Литвинова,Максим Суханов,7.548
Чудо в камере №7,2019,Турция,Мехмет Ада Озтекин,Арас Булут Ийнемли,Ниса София Аксонгур,8.276
Мужское-женское,1966,Франция,Жан-Люк Годар,Жан-Пьер Лео,Шанталь Гойя,7.811
Инспектор ГАИ,1982,СССР,Эльдор Уразбаев,Сергей Никоненко,Никита Михалков,7.697
Последнее пришествие дьявола,2021,Мексика,Алехандро Идальго,Уилл Бейнбринк,Мария Габриела де Фария,5.742
Нортенгерское аббатство,2006,Великобритания,Джон Джонс,Фелисити Джонс,Джей Джей Филд,7.076
Билл и Тед,2020,США,Дин Паризо,Киану Ривз,Алекс Уинтер,5.667
Время цыган,1988,Югославия,Эмир Кустурица,Давор Дуймович,Бора Тодорович,7.944
Последняя сказка Риты,2012,Россия,Рената Литвинова,Митя Борисов,Лев Данилкин,7.135
Мартовские коты,2001,США,Грегори Пуарье,Джерри О’Коннелл,Шеннон Элизабет,6.301
Трое в каноэ,2004,США,Стивен Брилл,Сет Грин,Мэттью Лиллард,6.615
Американская дочь,1995,Казахстан,Карен Шахназаров,Владимир Машков,Эллисон Уитбек,7.003
К чуду,2012,США,Терренс Малик,Бен Аффлек,Ольга Куриленко,5.855
Плетеный человек,1973,Великобритания,Робин Харди,Эдвард Вудворд,Кристофер Ли,7.126
Анна Каренина,1967,СССР,Александр Зархи,Татьяна Самойлова,Николай Гриценко,7.601
Добровольцы,1958,СССР,Юрий Егоров,Михаил Ульянов,Петр Щербаков,8.132
99 домов,2014,США,Рамин Бахрани,Эндрю Гарфилд,Майкл Шеннон,6.844
Визит инспектора,2015,Великобритания,Эшлин Уолш,Софи Рандл,Люси Чаппель,7.348
Женщины ХХ века,2016,США,Майк Миллс,Аннетт Бенинг,Эль Фаннинг,7.025
"Хиросима, моя любовь",1959,Франция,Ален Рене,Эмманюэль Рива,Эидзи Окада,8.009
Простая история,1960,СССР,Юрий Егоров,Нонна Мордюкова,Михаил Ульянов,7.971
Подержанные львы,2003,США,Тим МакКэнлис,Майкл Кейн,Роберт Дювалл,7.747
Ускользающий человек,2020,Корея,Юн Джэ-гын,Юн Ге-сан,Пак Ён-у,6.843
Сталинград,1992,Германия,Йозеф Фильсмайер,Доминик Хорвиц,Томас Кречман,7.526
З/Л/О 2,2013,США,Саймон Баррет,Лоуренс Майкл Ливайн,Келси Эбботт,5.228
За последней чертой,1991,СССР,Николай Стамбула,Евгений Сидихин,Игорь Тальков,7.824
Восставший из ада,2022,США,Дэвид Брукнер,Одесса Эзайон,Джеми Клейтон,5.666
Энола Холмс 2,2022,Великобритания,Гарри Брэдбир,Милли Бобби Браун,Генри Кавилл,6.622
"Хуже, чем ложь",2015,США,Синтаро Симосава,Джош Дюамель,Энтони Хопкинс,5.365
Слендер,2015,США,Джеймс Моран,Крис Маркетт,Александра Брекенридж,3.905
Проигранное место,2018,Россия,Надежда Михалкова,Алексей Дякин,Анна Михалкова,4.275
