title,country,director,actor_1,actor_2,ratingKP
Магнолия,США,Пол Томас Андерсон,Том Круз,Филип Бейкер Холл,7.395
Все самое лучшее,США,Эндрю Джареки,Райан Гослинг,Кирстен Данст,6.379
7 дней и ночей с Мэрилин,Великобритания,Саймон Кёртис,Мишель Уильямс,Эдди Редмэйн,6.923
10 000 лет до н.э.,США,Роланд Эммерих,Стивен Стрейт,Камилла Белль,6.262
Забойный реванш,США,Питер Сигал,Роберт Де Ниро,Сильвестр Сталлоне,6.96
Харли Дэвидсон и ковбой Мальборо,США,Саймон Уинсер,Микки Рурк,Дон Джонсон,7.629
Гол!,Великобритания,Дэнни Кэннон,Куно Беккер,Стивен Диллэйн,7.743
Кавалерия,США,Николай Фульси,Крис Хемсворт,Майкл Шеннон,6.345
Большой и добрый великан,Великобритания,Стивен Спилберг,Марк Райлэнс,Руби Барнхилл,6.143
Порок на экспорт,Великобритания,Дэвид Кроненберг,Наоми Уоттс,Вигго Мортенсен,7.004
Земля,США,Робин Райт,Робин Райт,Демиан Бичир,7.138
Безумное свидание,США,Шон Леви,Стив Карелл,Тина Фей,6.472
Железное небо,Финляндия,Тимо Вуоренсола,Юлия Дитце,Кристофер Кирби,5.912
Солдатики,США,Джо Данте,Дэвид Кросс,Джей Мор,7.336
8 новых свиданий,Россия,Марюс Вайсберг,Оксана Акиньшина,Владимир Зеленский,5.971
Три,Казахстан,Руслан Пак,Аскар Ильясов,Игорь Савочкин,6.32
Что скрывает ложь,США,Роберт Земекис,Мишель Пфайффер,Харрисон Форд,7.063
Соблазн,США,Майкл Кристофер,Антонио Бандерас,Анджелина Джоли,7.512
Выжившие,Франция,Матьё Тури,Бриттани Эшворт,Грегори Фетусси,5.435
Птицы,США,Альфред Хичкок,Род Тейлор,Джессика Тэнди,7.553
Нечестивые,США,Эван Спилиотопулос,Джеффри Дин Морган,Крикет Браун,6.035
Стена,Великобритания,Алан Паркер,Боб Гелдоф,Кристин Харгривз,8.118
Руфус: Хроники волшебной страны,Франция,Райан Беллгардт,Кори Филлипс,Мэдлин Кинтц,7.309
Таможня дает добро,Франция,Дэни Бун,Бенуа Пульворд,Дэни Бун,7.097
Глаз,Канада,Давид Моро,Джессика Альба,Алессандро Нивола,6.576
Любовь в большом городе 3,Россия,Марюс Вайсберг,Алексей Чадов,Владимир Зеленский,6.134
Образцовый самец,Германия,Бен Стиллер,Бен Стиллер,Оуэн Уилсон,6.093
Мужчина с гарантией,Россия,Артем Аксененко,Александр Олешко,Нонна Гришаева,5.427
Женщины против мужчин,Россия,Таир Мамедов,Роман Юнусов,Александр Головин,3.747
Мистер Черч,США,Брюс Бересфорд,Эдди Мерфи,Бритт Робертсон,7.762
Широко шагая,США,Кевин Брэй,Дуэйн Джонсон,Джонни Ноксвил,6.813
Человек-волк,США,Джо Джонстон,Бенисио Дель Торо,Энтони Хопкинс,6.139
Отчим,США,Нельсон МакКормик,Дилан Уолш,Села Уорд,6.255
Смертельное оружие 4,США,Ричард Доннер,Мэл Гибсон,Дэнни Гловер,7.568
Про любовь,Россия,Анна Меликян,Рената Литвинова,Михаил Ефремов,6.613
Преступник,США,Ариэль Вромен,Кевин Костнер,Гари Олдман,6.308
Суд над чикагской семеркой,США,Аарон Соркин,Марк Райлэнс,Саша Барон Коэн,7.559
Пираты ХХ века,СССР,Борис Дуров,Николай Ерёменко мл.,Пётр Вельяминов,7.424
Двойник,Великобритания,Ричард Айоади,Джесси Айзенберг,Миа Васиковска,6.733
Горе-творец,США,Джеймс Франко,Джеймс Франко,Дэйв Франко,7.54
Цветок пустыни,Великобритания,Шерри Хорман,Лия Кебеде,Салли Хокинс,7.967
Поменяться местами,Франция,Юго Желен,Франсуа Сивиль,Жозефин Жапи,7.18
Друзья друзей,Россия,Артем Аксененко,Нюша Шурочкина,Гарик Харламов,3.253
Смертельная зона,США,Микаэль Хофстрём,Демсон Идрис,Энтони Маки,5.339
Гость,США,Адам Вингард,Дэн Стивенс,Майка Монро,6.603
Агент Джонни Инглиш 3.0,Великобритания,Дэвид Керр,Роуэн Эткинсон,Ольга Куриленко,6.257
Несокрушимый,Россия,Константин Максимов,Андрей Чернышов,Владимир Епифанцев,5.53
Девушка без комплексов,США,Джадд Апатоу,Эми Шумер,Билл Хейдер,5.679
Дом Солнца,Россия,Гарик Сукачев,Светлана Иванова,Станислав Рядинский,7.158
Чернобыль: Зона отчуждения. Финал,Россия,Дмитрий Киселёв,Константин Давыдов,Кристина Казинская,5.919
Оцепеневшие от страха,Аргентина,Демиан Рунья,Максимилиано Гионе,Норберто Гонсало,6.083
Вне времени,США,Карл Франклин,Дензел Вашингтон,Ева Мендес,7.321
13-й район: Кирпичные особняки,Франция,Камиль Деламарр,Пол Уокер,Давид Белль,5.473
Первый встречный,США,Кэт Койро,Дженнифер Лопес,Оуэн Уилсон,6.492
Линкольн,США,Стивен Спилберг,Дэниэл Дэй-Льюис,Салли Филд,6.913
Зловещие мертвецы 2,США,Сэм Рэйми,Брюс Кэмпбелл,Сара Берри,7.574
Сумасшедшая езда,США,Патрик Люссье,Николас Кейдж,Эмбер Хёрд,5.676
Не в себе,США,Стивен Содерберг,Клэр Фой,Джошуа Леонард,6.507
Поехавшая,Россия,Антон Маслов,Ольга Лерман,такса Таисия,7.82
Подарок,США,Джоэл Эдгертон,Джейсон Бейтман,Ребекка Холл,6.415
Хичкок,США,Саша Джерваси,Энтони Хопкинс,Хелен Миррен,7.16
Завтра была война,СССР,Юрий Кара,Сергей Никоненко,Нина Русланова,8.064
Соседи. На тропе войны 2,США,Николас Столлер,Сет Роген,Зак Эфрон,5.26
Похищенная,Великобритания,Джулиан Джилби,Мелисса Джордж,Карел Роден,6.137
Мандарины,Эстония,Заза Урушадзе,Лембит Ульфсак,Георгий Накашидзе,8.063
В осаде 2: Темная территория,США,Джефф Мерфи,Стивен Сигал,Эрик Богосян,6.963
Цикада 3301: Квест для хакера,США,Алан Ричсон,Джек Кеси,Конор Лесли,6.09
Пришельцы 2: Коридоры времени,Франция,Жан-Мари Пуаре,Кристиан Клавье,Жан Рено,7.206
Поездка в Америку 2,США,Крэйг Брюэр,Эдди Мерфи,Арсенио Холл,5.256
Паранормальное явление 3,США,Генри Джуст,Лорен Биттнер,Кристофер Николас Смит,5.905
Человек-муравей и Оса: Квантомания,США,Пейтон Рид,Пол Радд,Эванджелин Лилли,6.026
S.W.A.T.: Спецназ города ангелов,США,Кларк Джонсон,Сэмюэл Л. Джексон,Колин Фаррелл,6.966
Юленька,Россия,Александр Стриженов,Марат Башаров,Дарья Балабанова,4.784
Идеальный дворец Фердинанда Шеваля,Франция,Нильс Тавернье,Жак Гамблен,Летиция Каста,7.911
Власть огня,США,Роб Боумен,Кристиан Бэйл,Мэттью МакКонахи,6.761
Спаун,США,Марк А.З. Диппе,Майкл Джей Уайт,Джон Легуизамо,6.834
Заложник,США,Флоран Эмилио Сири,Брюс Уиллис,Кевин Поллак,7.047
Возврат,Великобритания,Шон Эллис,Шон Биггерстаф,Эмилия Фокс,7.146
Запретное царство,США,Роб Минкофф,Джет Ли,Джеки Чан,7.095
Пороховой коктейль,Франция,Навот Папушадо,Карен Гиллан,Лина Хиди,6.257
Бой с тенью 3D: Последний раунд,Россия,Алексей Сидоров,Денис Никифоров,Андрей Панин,6.335
Остин Пауэрс: Человек-загадка международного масштаба,США,Джей Роуч,Майк Майерс,Элизабет Хёрли,6.621
Перестрелка,Великобритания,Бен Уитли,Энцо Чиленти,Сэм Райли,6.641
"Кто Вы, Мистер Брукс?",США,Брюс А. Эванс,Кевин Костнер,Деми Мур,7.181
Воздушный бой,Новая,Розанна Лян,Хлоя Грейс Морец,Ник Робинсон,5.021
Омен,Великобритания,Ричард Доннер,Грегори Пек,Ли Ремик,7.645
Как потерять друзей и заставить всех тебя ненавидеть,Великобритания,Роберт Б. Уайди,Саймон Пегг,Меган Фокс,6.543
В семье не без священника,Италия,Эдоардо Мария Фальконе,Марко Джаллини,Алессандро Гассман,7.235
Лучшие в аду,Россия,Андрей Щербинин,Алексей Кравченко,Георгий Болонев,7.616
Эта замечательная жизнь,США,Фрэнк Капра,Джеймс Стюарт,Донна Рид,8.429
Агент Джонни Инглиш,Великобритания,Питер Хауит,Роуэн Эткинсон,Натали Имбрулья,6.688
128 ударов сердца в минуту,Великобритания,Макс Джозеф,Зак Эфрон,Уэс Бентли,6.783
Молода и прекрасна,Франция,Франсуа Озон,Марина Вакт,Жеральдин Пайя,6.672
Убрать из друзей,США,Леван Габриадзе,Шелли Хенниг,Моусес Сторм,5.573
Рэмбо IV,США,Сильвестр Сталлоне,Сильвестр Сталлоне,Джули Бенц,6.866
Король Стейтен-Айленда,США,Джадд Апатоу,Пит Дэвидсон,Мариса Томей,7.169
Соломон Кейн,Чехия,М. Дж. Бассетт,Джеймс Пьюрфой,Макс фон Сюдов,6.135
Миа и белый лев,Франция,Жиль де Мэтр,Даниа Де Вилье,Мелани Лоран,7.706
Андрей Рублев,СССР,Андрей Тарковский,Анатолий Солоницын,Иван Лапиков,8.186
Батальонъ,Россия,Дмитрий Месхиев,Мария Аронова,Мария Кожевникова,7.148
Свадьба лучшего друга,США,П.Дж. Хоган,Джулия Робертс,Дермот Малруни,7.245
Танцующая в темноте,Дания,Ларс фон Триер,Бьорк,Катрин Денёв,7.965
Не могу сказать «прощай»,СССР,Борис Дуров,Сергей Варчук,Анастасия Иванова,8.166
Спасатель,США,Эндрю Дэвис,Кевин Костнер,Эштон Кутчер,7.96
Фея,Россия,Анна Меликян,Константин Хабенский,Ингеборга Дапкунайте,6.716
Ёлки 1914,Россия,Ольга Харина,Константин Хабенский,Иван Ургант,5.66
Исчезнувший,Великобритания,Кристиан Карион,Джеймс МакЭвой,Клэр Фой,6.089
Осенний марафон,СССР,Георгий Данелия,Олег Басилашвили,Наталья Гундарева,8.008
Август,США,Джон Уэллс,Мэрил Стрип,Джулия Робертс,7.418
Цветы войны,Китай,Чжан Имоу,Кристиан Бэйл,Ни Ни,7.917
Жених напрокат,США,Клер Килнер,Дебра Мессинг,Дермот Малруни,7.239
Бессмертная гвардия,США,Джина Принс-Байтвуд,Шарлиз Терон,Кики Лэйн,6.284
Бармен,Россия,Дина Штурманова,Виталий Гогунский,Иван Охлобыстин,6.202
Сайлент Хилл 2,Канада,М. Дж. Бассетт,Аделаида Клеменс,Кит Харингтон,5.195
Боевой конь,США,Стивен Спилберг,Джереми Ирвин,Питер Муллан,7.738
Пирамммида,Россия,Эльдар Салаватов,Алексей Серебряков,Фёдор Бондарчук,6.84
Экстаз,Франция,Гаспар Ноэ,София Бутелла,Ромен Гийермик,6.869
Добыча,США,Дэн Трахтенберг,Эмбер Мидфандер,Дакота Биверс,6.581
Амадей,США,Милош Форман,Том Халс,Ф. Мюррэй Абрахам,8.158
Беглец,США,Эндрю Дэвис,Харрисон Форд,Томми Ли Джонс,7.881
Очень страшное кино 4,США,Дэвид Цукер,Анна Фэрис,Реджина Холл,5.745
Война,Канада,Филлип Дж. Этвелл,Джет Ли,Джейсон Стэйтем,6.943
Расправь крылья,Франция,Николя Ванье,Жан-Поль Рув,Мелани Дотей,8.142
Середина 90-х,США,Джона Хилл,Санни Сулджик,Кэтрин Уотерстон,7.381
Шанхайский полдень,США,Том Дей,Джеки Чан,Оуэн Уилсон,7.562
Замёрзшие,США,Адам Грин,Эмма Белл,Шон Эшмор,6.269
Итальянские каникулы,Италия,Массимо Венье,Альдо,Джованни,7.2
Голубая лагуна,США,Рэндал Клайзер,Брук Шилдс,Кристофер Аткинс,7.103
Крысиные бега,США,Джерри Цукер,Роуэн Эткинсон,Кьюба Гудинг мл.,7.161
Территория,Россия,Александр Мельник,Константин Лавроненко,Григорий Добрыгин,7.065
Вам письмо,США,Нора Эфрон,Том Хэнкс,Мег Райан,7.773
Необратимость,Франция,Гаспар Ноэ,Моника Беллуччи,Венсан Кассель,7.12
Дополнительный урок,Россия,Анна Курбатова,Кирилл Кяро,Юлия Александрова,6.97
Орел Девятого легиона,США,Кевин Макдональд,Ченнинг Татум,Джейми Белл,6.795
Астрал 3,Канада,Ли Уоннелл,Стефани Скотт,Лин Шэй,5.777
Затерянный город Z,США,Джеймс Грэй,Чарли Ханнэм,Роберт Паттинсон,6.467
Клаустрофобы: Квест в Москве,США,Уилл Верник,Кигэн Аллен,Холлэнд Роден,5.786
«Весёлые» каникулы,США,Адриан Грюнберг,Мэл Гибсон,Кевин Эрнандес,7.095
Черновик,Россия,Сергей Мокрицкий,Никита Волков,Евгений Ткачук,5.173
Вечеринка на вылет,Франция,Николя Плескоф,Алис Поль,Эдди Митчелл,6.335
Кон-Тики,Норвегия,Хоаким Роннинг,Пол Сверре Валхейм Хаген,Андерс Баасмо Кристиансен,7.319
Последний дом слева,США,Дэннис Илиадис,Тони Голдуин,Моника Поттер,6.838
Служебный роман. Наше время,Россия,Сарик Андреасян,Светлана Ходченкова,Владимир Зеленский,4.056
Рокетмен,Великобритания,Декстер Флетчер,Тэрон Эджертон,Джейми Белл,7.134
Герцогиня,Великобритания,Сол Дибб,Кира Найтли,Рэйф Файнс,7.529
"Привет, Джули!",США,Роб Райнер,Мадлен Кэрролл,Каллэн МакОлифф,7.836
Гретель и Гензель,США,Оз Перкинс,София Лиллис,Сэмми Лики,5.771
Жутко громко и запредельно близко,США,Стивен Долдри,Томас Хорн,Макс фон Сюдов,7.629
Ганнибал: Восхождение,Великобритания,Питер Веббер,Гаспар Ульель,Гун Ли,6.907
Посылка,США,Ричард Келли,Кэмерон Диас,Джеймс Марсден,6.14
И грянул шторм,США,Крэйг Гиллеспи,Крис Пайн,Кейси Аффлек,6.991
Король Артур,Ирландия,Антуан Фукуа,Клайв Оуэн,Кира Найтли,7.06
Афера Томаса Крауна,США,Джон МакТирнан,Пирс Броснан,Рене Руссо,7.697
Белоснежка и Охотник 2,США,Седрик Николя-Троян,Крис Хемсворт,Шарлиз Терон,6.133
Эксперимент «Ведьма»,Корея,Пак Хун-джон,Щин Щи-а,Пак Ын-бин,6.861
Идеальный голос,США,Джейсон Мур,Анна Кендрик,Скайлар Эстин,7.154
Бендер: Последняя афера,Россия,Игорь Зайцев,Сергей Безруков,Арам Вардеванян,6.792
Великое ограбление поезда,Великобритания,Джулиан Джаррольд,Люк Эванс,Джим Бродбент,7.195
Гордость и предубеждение и зомби,США,Бёрр Стирс,Лили Джеймс,Сэм Райли,5.928
Блэйд 3: Троица,США,Дэвид С. Гойер,Уэсли Снайпс,Крис Кристофферсон,6.035
Любовь-морковь,Россия,Александр Стриженов,Гоша Куценко,Кристина Орбакайте,5.587
Если только,США,Джил Джангер,Дженнифер Лав Хьюитт,Пол Николлс,7.612
Жених напрокат,США,Люк Гринфилд,Джиннифер Гудвин,Кейт Хадсон,6.21
Коллекционер 2,США,Маркус Данстэн,Джош Стюарт,Эмма Фитцпатрик,6.219
Плезантвиль,США,Гэри Росс,Тоби Магуайр,Риз Уизерспун,7.812
Октябрьское небо,США,Джо Джонстон,Джейк Джилленхол,Лора Дерн,8.03
Тысяча слов,США,Брайан Роббинс,Эдди Мерфи,Клифф Кёртис,6.905
Прости за любовь,Италия,Федерико Моччиа,Рауль Бова,Микела Кваттрочокке,7.647
Звездные врата,США,Роланд Эммерих,Курт Рассел,Джеймс Спэйдер,7.556
Дело Ричарда Джуэлла,США,Клинт Иствуд,Пол Уолтер Хаузер,Сэм Рокуэлл,7.594
Матильда,Россия,Алексей Учитель,Михалина Ольшанска,Ларс Айдингер,5.727
Судная ночь 2,США,Джеймс ДеМонако,Фрэнк Грилло,Кармен Эджого,6.418
Заклятье. Дом 32,Испания,Альберт Пинто,Бегонья Варгас,Иван Маркос,5.721
Тутси,США,Сидни Поллак,Дастин Хоффман,Джессика Лэнг,7.873
Космос между нами,США,Питер Челсом,Бритт Робертсон,Эйса Баттерфилд,6.577
Избави нас от лукавого,США,Скотт Дерриксон,Эрик Бана,Эдгар Рамирес,6.188
На игре,Россия,Павел Санаев,Сергей Чирков,Марина Петренко,6.142
Видок,Франция,Питоф,Жерар Депардье,Гийом Кане,7.191
Тариф Новогодний,Россия,Евгений Бедарев,Максим Матвеев,Валерия Ланская,7.078
Мистериум. Журнал 64,Дания,Кристоффер Боэ,Николай Ли Каас,Фарес Фарес,7.412
Оверлорд,США,Джулиус Эйвери,Джован Адепо,Уайатт Рассел,6.317
Красотка на взводе,США,Таня Уэкслер,Кейт Бекинсейл,Бобби Каннавале,6.19
Это очень забавная история,США,Анна Боден,Кейр Гилкрист,Эмма Робертс,7.372
Сказки на ночь,США,Адам Шенкман,Адам Сэндлер,Кери Рассел,6.874
Фрида,США,Джули Тэймор,Сальма Хайек,Альфред Молина,7.919
Варяг,США,Роберт Эггерс,Александр Скарсгард,Николь Кидман,6.755
В активном поиске,США,Кристиан Диттер,Дакота Джонсон,Ребел Уилсон,6.456
Девушка моего лучшего друга,США,Ховард Дойч,Дейн Кук,Кейт Хадсон,6.735
Кавказская пленница!,Россия,Максим Воронков,Дмитрий Шаракоис,Настя Задорожная,1.112
Бой с тенью,Россия,Алексей Сидоров,Денис Никифоров,Андрей Панин,6.552
Яйцо Фаберже,Россия,Илья Фарфель,Николай Наумов,Максим Лагашкин,5.657
Воины света,Австралия,Майкл Спириг,Итан Хоук,Уиллем Дефо,6.645
Голос монстра,Великобритания,Хуан Антонио Байона,Льюис МакДугалл,Лиам Нисон,7.405
Всё ещё Элис,США,Ричард Глацер,Джулианна Мур,Алек Болдуин,7.554
Дрожь земли,США,Рон Андервуд,Кевин Бейкон,Фред Уорд,7.283
Манчестер у моря,США,Кеннет Лонерган,Кейси Аффлек,Мишель Уильямс,7.276
Путь домой,США,Чарльз Мартин Смит,Брайс Даллас Ховард,Эшли Джадд,7.363
Изгоняющий дьявола,США,Уильям Фридкин,Эллен Бёрстин,Макс фон Сюдов,7.694
Человек в железной маске,США,Рэндалл Уоллес,Леонардо ДиКаприо,Джереми Айронс,7.294
Свет в океане,Великобритания,Дерек Сиенфрэнс,Майкл Фассбендер,Алисия Викандер,7.297
Чучело,СССР,Ролан Быков,Кристина Орбакайте,Юрий Никулин,7.911
Дьявол всегда здесь,США,Антонио Кампос,Том Холланд,Дональд Рэй Поллок,7.077
Очень плохие мамочки 2,США,Джон Лукас,Мила Кунис,Кристен Белл,6.102
Проклятие Аннабель: Зарождение зла,США,Дэвид Ф. Сандберг,Талита Бейтман,Лулу Уилсон,6.216
Мертвые не умирают,США,Джим Джармуш,Адам Драйвер,Билл Мюррей,6.203
8 первых свиданий,Россия,Дэвид Додсон,Оксана Акиньшина,Владимир Зеленский,6.732
Шпион по соседству,США,Брайан Левант,Джеки Чан,Эмбер Валлетта,6.159
"Удачи, Чак!",США,Марк Хелфрич,Джессика Альба,Дейн Кук,6.623
Мерзлая земля,США,Скотт Уокер,Николас Кейдж,Джон Кьюсак,6.459
Ослепленный желаниями,Германия,Харольд Рэмис,Брендан Фрейзер,Элизабет Хёрли,7.246
Извержение,Корея,Ли Хэ-джун,Ли Бён-хон,Ха Джон-у,6.531
Ведьма из Блэр: Курсовая с того света,США,Дэниэл Мирик,Хезер Донахью,Джошуа Леонард,6.521
Эксперимент «Офис»,США,Грег МакЛин,Джон Галлахер мл.,Тони Голдуин,6.085
Мушкетёры,США,Пол У. С. Андерсон,Логан Лерман,Милла Йовович,6.039
Страшные сказки,Италия,Маттео Гарроне,Сальма Хайек,Венсан Кассель,6.434
Машина времени в джакузи,США,Стив Пинк,Джон Кьюсак,Кларк Дьюк,6.255
По семейным обстоятельствам  (ТВ),СССР,Алексей Коренев,Галина Польских,Евгения Ханаева,8.192
Несносные леди,США,Гэрри Маршалл,Дженнифер Энистон,Джулия Робертс,6.338
История Золушки,США,Марк Росман,Хилари Дафф,Чад Майкл Мюррэй,6.874
Тайное влечение,Австралия,Анн Фонтен,Наоми Уоттс,Робин Райт,6.696
Ведьма,США,Роберт Эггерс,Аня Тейлор-Джой,Ральф Айнесон,6.596
Ищу друга на конец света,США,Лорин Скафария,Стив Карелл,Кира Найтли,6.679
Призрак оперы,Великобритания,Джоэл Шумахер,Джерард Батлер,Эмми Россам,7.813
Праведник,Россия,Сергей Урсуляк,Александр Яценко,Сергей Маковецкий,7.556
Одна,Россия,Дмитрий Суворов,Надежда Калеганова,Виктор Добронравов,6.636
Огни большого города,США,Чарльз Чаплин,Вирджиния Черрилл,Гарри Майерс,8.487
Ценности семейки Аддамс,США,Барри Зонненфельд,Анжелика Хьюстон,Рауль Хулиа,7.664
Агент Ева,США,Тейт Тейлор,Джессика Честейн,Джон Малкович,5.996
Антихрист,Дания,Ларс фон Триер,Уиллем Дефо,Шарлотта Генсбур,6.636
Химера,Канада,Винченцо Натали,Эдриан Броуди,Сара Полли,5.726
Хребет дьявола,Испания,Гильермо дель Торо,Мариса Паредес,Эдуардо Норьега,7.148
Не дыши 2,США,Родольфо Саягес,Стивен Лэнг,Мэдлин Грэйс,6.268
Пираньи 3D,США,Александр Ажа,Элизабет Шу,Стивен Р. МакКуин,5.342
Атлантида,Испания,Ксавье Жанс,Рэй Стивенсон,Дэвид Оукс,5.751
Запрос в друзья,Германия,Симон Ферхоэвен,Алисия Дебнем-Кери,Уильям Моусли,5.474
Несносные боссы 2,США,Шон Андерс,Джейсон Бейтман,Джейсон Судейкис,6.155
На Западном фронте без перемен,Германия,Эдвард Бергер,Феликс Каммерер,Альбрехт Шух,7.591
Чемпион мира,Россия,Алексей Сидоров,Константин Хабенский,Иван Янковский,6.943
Сквозь горизонт,Великобритания,Пол У. С. Андерсон,Лоренс Фишбёрн,Сэм Нил,6.903
Чёрный клановец,США,Спайк Ли,Джон Дэвид Вашингтон,Адам Драйвер,6.756
Дом летающих кинжалов,Китай,Чжан Имоу,Такеши Канеширо,Энди Лау,7.757
Поцелуй на вылет,США,Шейн Блэк,Роберт Дауни мл.,Вэл Килмер,7.217
Опасный метод,Великобритания,Дэвид Кроненберг,Кира Найтли,Вигго Мортенсен,6.582
Солдат Джейн,США,Ридли Скотт,Деми Мур,Вигго Мортенсен,7.202
Безумная свадьба,Франция,Филипп де Шоврон,Кристиан Клавье,Шанталь Лоби,7.259
Молодой человек,Россия,Александр Фомин,Павел Табаков,Данила Козловский,7.17
Коматозники,США,Нильс Арден Оплев,Эллиот Пейдж,Диего Луна,5.71
Смертельное оружие 2,США,Ричард Доннер,Мэл Гибсон,Дэнни Гловер,7.865
Аванпост,Россия,Егор Баранов,Лукерья Ильяшенко,Пётр Фёдоров,6.078
Затерянные во льдах,Исландия,Джо Пенна,Мадс Миккельсен,Мария Тельма Смарадоттир,6.8
На гребне волны,США,Эриксон Кор,Люк Брейси,Эдгар Рамирес,6.71
Елена,Россия,Андрей Звягинцев,Надежда Маркина,Андрей Смирнов,7.248
"Здравствуйте, я ваша тетя!  (ТВ)",СССР,Виктор Титов,Александр Калягин,Михаил Козаков,7.939
Двойник дьявола,Бельгия,Ли Тамахори,Доминик Купер,Людивин Санье,7.104
Баллада о солдате,СССР,Григорий Чухрай,Владимир Ивашов,Жанна Прохоренко,8.277
Бэтмен и Робин,США,Джоэл Шумахер,Джордж Клуни,Крис О’Доннелл,5.701
Город тайн,Австралия,Роберт Коннолли,Эрик Бана,Женевьев О’Рейли,6.842
По наклонной,США,Энтони Руссо,Том Холланд,Сиэра Браво,6.991
Выбор,США,Росс Кац,Бенджамин Уокер,Тереза Палмер,6.903
Советник,Великобритания,Ридли Скотт,Майкл Фассбендер,Пенелопа Крус,5.572
Новогодние приключения Маши и Вити  (ТВ),СССР,Геннадий Казанский,Ирина Борисова,Михаил Боярский,7.889
Маска Зорро,США,Мартин Кэмпбелл,Антонио Бандерас,Энтони Хопкинс,7.517
Неистовый,Великобритания,Деррик Борте,Карен Писториус,Рассел Кроу,6.252
Уловки Норбита,США,Брайан Роббинс,Эдди Мерфи,Тандиве Ньютон,5.766
Супер Майк,США,Стивен Содерберг,Ченнинг Татум,Алекс Петтифер,6.232
Тихий Дон,СССР,Сергей Герасимов,Петр Глебов,Элина Быстрицкая,8.176
Ловец снов,США,Лоуренс Кэздан,Морган Фриман,Томас Джейн,6.644
Русалка и дочь короля,Австралия,Шон МакНамара,Кая Скоделарио,Пирс Броснан,6.814
"Весна, лето, осень, зима... и снова весна",Корея,Ким Ки Дук,О Ён-су,Со Джэ-гён,7.925
Телохранитель,США,Уильям Монахэн,Колин Фаррелл,Кира Найтли,6.627
Старик Хоттабыч,СССР,Геннадий Казанский,Николай Волков,Алексей Литвинов,7.823
Кошмар на улице Вязов,США,Сэмюэл Байер,Джеки Эрл Хейли,Кайл Галлнер,5.647
Статский советник,Россия,Филипп Янковский,Никита Михалков,Олег Меньшиков,7.384
Двойной просчёт,США,Брюс Бересфорд,Эшли Джадд,Томми Ли Джонс,7.404
Останься,США,Марк Форстер,Юэн Макгрегор,Райан Гослинг,7.242
Прабабушка легкого поведения. Начало,Россия,Марюс Вайсберг,Александр Ревва,Наталья Чистякова-Ионова,4.489
Прогулка среди могил,США,Скотт Фрэнк,Лиам Нисон,Дэн Стивенс,6.464
Жертвуя пешкой,США,Эдвард Цвик,Тоби Магуайр,Лив Шрайбер,7.009
Деньги на двоих,США,Ди Джей Карузо,Аль Пачино,Мэттью МакКонахи,7.208
При чём тут любовь?,Великобритания,Шекхар Капур,Лили Джеймс,Шазад Латиф,7.43
Золушка,СССР,Надежда Кошеверова,Янина Жеймо,Алексей Консовский,7.997
С меня хватит!,США,Джоэл Шумахер,Майкл Дуглас,Роберт Дювалл,7.636
Ёлки новые,Россия,Жора Крыжовников,Иван Ургант,Сергей Светлаков,5.801
Бронкская история,США,Роберт Де Ниро,Роберт Де Ниро,Чазз Пальминтери,8.011
Беглецы,Франция,Франсис Вебер,Пьер Ришар,Жерар Депардье,7.951
Мир Юрского периода: Господство,США,Колин Треворроу,Крис Пратт,Брайс Даллас Ховард,5.686
Другой мир: Войны крови,США,Анна Ферстер,Кейт Бекинсейл,Тео Джеймс,5.798
Кабельщик,США,Бен Стиллер,Джим Керри,Мэттью Бродерик,7.076
14+,Россия,Андрей Зайцев,Глеб Калюжный,Ульяна Васькович,6.613
Призраки бывших подружек,США,Марк Уотерс,Мэттью МакКонахи,Дженнифер Гарнер,6.343
Десятидюймовый герой,США,Дэвид Маккэй,Элизабет Арнуа,Клеа ДюВалл,7.866
Крик 2,США,Уэс Крэйвен,Нив Кэмпбелл,Дэвид Аркетт,6.798
"Папа, сдохни",Россия,Кирилл Соколов,Виталий Хаев,Александр Кузнецов,6.923
Филадельфия,США,Джонатан Демме,Том Хэнкс,Дензел Вашингтон,7.847
Грайндхаус,США,Роберт Родригес,Роуз МакГоун,Курт Рассел,7.085
Шаг вперёд: Всё или ничего,США,Триш Си,Райан Гузман,Бриана Эвиган,6.334
Вышибала,США,Майкл Даус,Шонн Уильям Скотт,Джей Барушель,6.814
Тайна дома с часами,США,Элай Рот,Джек Блэк,Кейт Бланшетт,5.985
Девушки бывают разные,Россия,Сарик Андреасян,Дмитрий Нагиев,Роман Попов,4.912
Спайдервик: Хроники,США,Марк Уотерс,Фредди Хаймор,Мэри-Луиз Паркер,6.806
"Шесть дней, семь ночей",США,Айвен Райтман,Харрисон Форд,Энн Хеч,7.209
Кислота,Россия,Александр Горчилин,Филипп Авдеев,Александр Кузнецов,6.087
"Ну, здравствуй, Оксана Соколова!",Россия,Кирилл Васильев,Виктор Добронравов,Валентина Мазунина,6.209
Афера,США,Джордж Рой Хилл,Пол Ньюман,Роберт Редфорд,8.131
Свадебный угар,США,Джейк Шиманьски,Зак Эфрон,Адам Дивайн,5.845
Мои черничные ночи,Китай,Вонг Кар-Вай,Нора Джонс,Джуд Лоу,7.137
Дети шпионов 4D,США,Роберт Родригес,Роуэн Бланчард,Мэйсон Кук,3.714
